alarm_id,timestamp,tag_id,severity,message,linked_event_id,standard_tag_id_truth
ALM-202301022140-00001,2023-01-02T21:40:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202301041935-00002,2023-01-04T19:35:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202301061920-00003,2023-01-06T19:20:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202301111950-00004,2023-01-11T19:50:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202301161945-00005,2023-01-16T19:45:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202301181655-00006,2023-01-18T16:55:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202302091855-00007,2023-02-09T18:55:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202302122220-00008,2023-02-12T22:20:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202302140430-00009,2023-02-14T04:30:00Z,TAG-U1-TurbineVibration_mm_s,HIGH,BRG2 vib high: check oil/alignment/pedestal. Trip risk.,EVT-2023-02-TB-VIB,TAG-U1-TurbineVibration_mm_s
ALM-202302140525-00010,2023-02-14T05:25:00Z,TAG-U1-TurbineVibration_mm_s,HIGH,BRG2 vib high: check oil/alignment/pedestal. Trip risk.,EVT-2023-02-TB-VIB,TAG-U1-TurbineVibration_mm_s
