date,unit_id,availability_factor,capacity_payment_actual,capacity_payment_potential,availability_penalty
2023-01-01,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-02,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-03,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-04,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-05,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-06,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-07,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-08,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-09,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-10,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-11,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-12,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-13,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-14,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-15,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-16,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-17,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-18,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-19,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-20,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-21,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-22,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-23,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-24,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-25,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-26,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-27,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-28,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-29,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-30,STS-U1,1.0,320000.0,320000.0,0.0
2023-01-31,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-01,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-02,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-03,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-04,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-05,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-06,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-07,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-08,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-09,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-10,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-11,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-12,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-13,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-14,STS-U1,0.7292,233333.33,320000.0,41000.0
2023-02-15,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-16,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-17,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-18,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-19,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-20,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-21,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-22,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-23,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-24,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-25,STS-U1,1.0,320000.0,320000.0,0.0
