date,unit_id,actual_revenue_usd,max_potential_revenue_usd,revenue_loss_usd,revenue_capture_ratio,energy_rev_actual,energy_rev_potential,capacity_payment_actual,capacity_payment_potential,penalties_total_usd,fuel_overburn_cost
2023-01-01,STS-U1,793472.722,806577.8130000001,13105.091000000131,0.9837522297430216,478598.332,486577.813,320000.0,320000.0,631.41,4494.2
2023-01-02,STS-U1,868396.236,881934.32,13538.083999999915,0.9846495553092889,553426.626,561934.32,320000.0,320000.0,678.17,4352.22
2023-01-03,STS-U1,872579.314,887082.474,14503.160000000033,0.983650719718762,558235.894,567082.474,320000.0,320000.0,703.57,4953.01
2023-01-04,STS-U1,869351.442,883262.858,13911.415999999968,0.9842499705789735,555050.932,563262.858,320000.0,320000.0,653.23,5046.26
2023-01-05,STS-U1,866477.505,880497.9,14020.395000000019,0.9840767422613955,552055.415,560497.9,320000.0,320000.0,672.98,4904.93
2023-01-06,STS-U1,859162.3859999999,873917.975,14755.589000000036,0.9831155904534404,544979.186,553917.975,320000.0,320000.0,713.16,5103.64
2023-01-07,STS-U1,791903.001,804788.2139999999,12885.212999999872,0.983989312000536,476824.861,484788.214,320000.0,320000.0,633.69,4288.17
2023-01-08,STS-U1,796353.175,809545.889,13192.71399999992,0.9837035624795818,481350.405,489545.889,320000.0,320000.0,653.24,4343.99
2023-01-09,STS-U1,869915.6619999999,884137.634,14221.972000000067,0.9839143008361071,555209.342,564137.634,320000.0,320000.0,711.41,4582.27
2023-01-10,STS-U1,868756.625,882612.757,13856.131999999983,0.9843010064265364,554477.075,562612.757,320000.0,320000.0,648.24,5072.21
2023-01-11,STS-U1,875192.351,889625.751,14433.400000000023,0.983775874311444,560822.681,569625.751,320000.0,320000.0,702.14,4928.19
2023-01-12,STS-U1,871312.6740000001,885533.916,14221.241999999853,0.9839404886215563,556994.974,565533.916,320000.0,320000.0,682.2,5000.1
2023-01-13,STS-U1,862843.583,877340.715,14497.131999999983,0.9834760524022871,548580.363,557340.715,320000.0,320000.0,695.99,5040.79
2023-01-14,STS-U1,791339.2390000001,804632.726,13293.486999999965,0.983478813910435,476402.999,484632.726,320000.0,320000.0,657.01,4406.75
2023-01-15,STS-U1,790150.695,802989.798,12839.103000000003,0.9840108765615974,475404.635,482989.798,320000.0,320000.0,600.31,4653.63
2023-01-16,STS-U1,874282.3160000001,888548.921,14266.604999999865,0.98394392850768,559934.006,568548.921,320000.0,320000.0,686.07,4965.62
2023-01-17,STS-U1,867509.103,880887.068,13377.964999999967,0.9848130759481192,552684.713,560887.068,320000.0,320000.0,651.89,4523.72
2023-01-18,STS-U1,869638.4,883928.972,14290.571999999927,0.9838328955688987,555176.84,563928.972,320000.0,320000.0,698.74,4839.7
2023-01-19,STS-U1,866680.152,881321.816,14641.66399999999,0.9833866996888229,552501.112,561321.816,320000.0,320000.0,704.39,5116.57
2023-01-20,STS-U1,867990.6840000001,882646.728,14656.043999999878,0.9833953454592086,554131.984,562646.728,320000.0,320000.0,676.84,5464.46
2023-01-21,STS-U1,791273.793,804126.0989999999,12852.305999999982,0.9840170515346002,476056.613,484126.099,320000.0,320000.0,640.42,4142.4
2023-01-22,STS-U1,784716.369,798312.431,13596.062000000034,0.9829689962575566,470202.059,478312.431,320000.0,320000.0,647.43,4838.26
2023-01-23,STS-U1,871662.281,885425.113,13762.832000000053,0.9844562439014534,556956.671,565425.113,320000.0,320000.0,675.22,4619.17
2023-01-24,STS-U1,869670.3960000001,884134.522,14464.125999999931,0.9836403560317036,555462.666,564134.522,320000.0,320000.0,691.57,5100.7
2023-01-25,STS-U1,868271.176,882810.451,14539.275000000023,0.9835306945182505,554147.696,562810.451,320000.0,320000.0,689.27,5187.25
2023-01-26,STS-U1,865834.4969999999,880134.467,14299.970000000088,0.9837525167617369,551485.967,560134.467,320000.0,320000.0,686.16,4965.31
2023-01-27,STS-U1,860859.338,876066.15,15206.812000000034,0.9826419363423641,546997.748,556066.15,320000.0,320000.0,724.13,5414.28
2023-01-28,STS-U1,800910.192,814405.904,13495.711999999941,0.983428764534104,486277.282,494405.904,320000.0,320000.0,647.22,4719.87
2023-01-29,STS-U1,792720.5650000001,806022.4890000001,13301.923999999999,0.9834968326795656,478065.625,486022.489,320000.0,320000.0,634.07,4710.99
2023-01-30,STS-U1,872934.9559999999,887467.921,14532.965000000084,0.9836242362612675,558620.406,567467.921,320000.0,320000.0,703.54,4981.91
2023-01-31,STS-U1,876124.7309999999,891039.1089999999,14914.378000000026,0.9832618143812585,562094.151,571039.1089999999,320000.0,320000.0,714.12,5255.3
2023-02-01,STS-U1,865286.712,879890.156,14603.443999999901,0.9834031056031045,550955.962,559890.156,320000.0,320000.0,709.24,4960.01
2023-02-02,STS-U1,870363.4120000001,885381.17,15017.757999999914,0.9830380874262326,556257.212,565381.17,320000.0,320000.0,727.83,5165.97
2023-02-03,STS-U1,869681.193,884224.393,14543.20000000007,0.9835525912707996,555651.583,564224.393,320000.0,320000.0,684.49,5285.9
2023-02-04,STS-U1,790951.856,804621.31,13669.454000000027,0.9830113199462738,475967.086,484621.31,320000.0,320000.0,692.16,4323.07
2023-02-05,STS-U1,790345.4530000001,803371.181,13025.727999999886,0.9837861647168049,475670.803,483371.181,320000.0,320000.0,614.5,4710.85
2023-02-06,STS-U1,866705.831,881310.441,14604.609999999986,0.9834285294709223,552453.481,561310.441,320000.0,320000.0,705.5,5042.15
2023-02-07,STS-U1,864765.1840000001,879358.96,14593.775999999838,0.9834040742588216,550492.454,559358.96,320000.0,320000.0,704.2,5023.07
2023-02-08,STS-U1,864578.508,878890.314,14311.805999999982,0.9837160499188298,550484.498,558890.314,320000.0,320000.0,671.2,5234.79
2023-02-09,STS-U1,866929.524,881095.354,14165.830000000075,0.9839224779296701,552686.234,561095.354,320000.0,320000.0,668.29,5088.42
2023-02-10,STS-U1,866360.123,880596.269,14236.14599999995,0.9838335154245357,552139.143,560596.269,320000.0,320000.0,671.11,5107.91
2023-02-11,STS-U1,788533.9580000001,801635.408,13101.449999999953,0.9836565976636601,474065.728,481635.408,320000.0,320000.0,600.45,4931.32
2023-02-12,STS-U1,789345.452,803351.4739999999,14006.02199999988,0.982565511543457,474796.052,483351.474,320000.0,320000.0,682.71,4767.89
2023-02-13,STS-U1,875139.1309999999,889942.887,14803.756000000052,0.9833654988244206,561249.431,569942.887,320000.0,320000.0,692.15,5418.15
2023-02-14,STS-U1,609420.012,884555.296,275135.284,0.6889563770132014,431656.93200000003,564555.296,233333.33,320000.0,41501.52,14068.73
2023-02-15,STS-U1,854698.606,884551.652,29853.045999999973,0.966250646943566,556177.666,564551.652,320000.0,320000.0,667.19,20811.87
2023-02-16,STS-U1,861202.116,881490.219,20288.103000000003,0.9769843129705787,552932.006,561490.219,320000.0,320000.0,682.76,11047.13
2023-02-17,STS-U1,860701.507,874896.731,14195.224000000046,0.9837749719515182,546525.007,554896.731,320000.0,320000.0,665.4,5158.1
2023-02-18,STS-U1,791008.1569999999,803742.6140000001,12734.45700000017,0.9841560509817635,476080.267,483742.614,320000.0,320000.0,611.56,4460.55
2023-02-19,STS-U1,793942.5059999999,807858.5009999999,13915.994999999995,0.9827742172883318,479760.366,487858.501,320000.0,320000.0,645.92,5171.94
2023-02-20,STS-U1,872718.435,887605.317,14886.881999999983,0.983228038729741,559046.835,567605.317,320000.0,320000.0,679.58,5648.82
2023-02-21,STS-U1,866250.962,880566.451,14315.488999999943,0.9837428634900378,552635.732,560566.451,320000.0,320000.0,630.57,5754.2
2023-02-22,STS-U1,877538.1449999999,892085.478,14547.3330000001,0.9836928933843713,563676.695,572085.478,320000.0,320000.0,670.52,5468.03
2023-02-23,STS-U1,864673.8010000001,879296.642,14622.840999999898,0.9833698432343155,550750.111,559296.642,320000.0,320000.0,679.45,5396.86
2023-02-24,STS-U1,867385.9619999999,882400.188,15014.226000000024,0.9829847883033316,553215.862,562400.188,320000.0,320000.0,732.01,5097.89
2023-02-25,STS-U1,795071.122,808569.8,13498.678000000073,0.9833054882831389,480259.382,488569.8,320000.0,320000.0,663.83,4524.43
2023-02-26,STS-U1,793764.5499999999,806439.617,12675.06700000004,0.9842826831261688,478754.94,486439.61699999997,320000.0,320000.0,612.8,4377.59
2023-02-27,STS-U1,868501.908,882351.519,13849.610999999917,0.9843037489007825,554332.748,562351.519,320000.0,320000.0,636.48,5194.36
2023-02-28,STS-U1,867895.679,883649.34,15753.660999999964,0.9821720446257562,554203.959,563649.34,320000.0,320000.0,753.87,5554.41
2023-03-01,STS-U1,865285.0490000001,879332.947,14047.897999999928,0.9840243697817456,551216.839,559332.947,320000.0,320000.0,645.08,5286.71
2023-03-02,STS-U1,868773.479,883341.529,14568.04999999993,0.9835080209389772,554713.809,563341.529,320000.0,320000.0,686.12,5254.21
2023-03-03,STS-U1,864385.143,885748.969,21363.826,0.9758804957750958,555301.393,565748.969,315917.51,320000.0,833.25,6000.51
2023-03-04,STS-U1,792867.126,806768.6529999999,13901.526999999885,0.982768880585151,478418.816,486768.653,320000.0,320000.0,664.84,4886.85
2023-03-05,STS-U1,787750.266,804971.5989999999,17221.332999999984,0.9786062849653407,476074.656,484971.599,317745.79,320000.0,705.18,5365.0
2023-03-06,STS-U1,872044.172,887159.97,15115.797999999952,0.982961586961594,557833.942,567159.97,320000.0,320000.0,742.52,5047.25
2023-03-07,STS-U1,866061.7289999999,880256.776,14195.04700000002,0.9838739702016222,551957.169,560256.776,320000.0,320000.0,660.79,5234.65
2023-03-08,STS-U1,866719.5329999999,881616.999,14897.466000000015,0.9831021112150765,552881.673,561616.999,320000.0,320000.0,695.98,5466.16
2023-03-09,STS-U1,652970.9569999999,882815.983,229845.02600000007,0.7396455995065507,419694.197,562815.983,260484.85,320000.0,21463.05,5745.04
2023-03-10,STS-U1,856747.8989999999,887730.116,30982.21700000018,0.9650995089142609,558650.139,567730.116,320000.0,320000.0,723.68,21178.56
2023-03-11,STS-U1,776786.72,804563.389,27776.668999999994,0.9654760962532437,476103.88,484563.389,320000.0,320000.0,673.85,18643.31
2023-03-12,STS-U1,789573.118,802885.395,13312.277000000002,0.9834194555251562,474872.098,482885.395,320000.0,320000.0,637.03,4661.95
2023-03-13,STS-U1,865914.401,880245.048,14330.646999999997,0.9837197073331334,552141.531,560245.048,320000.0,320000.0,647.62,5579.51
2023-03-14,STS-U1,874201.895,889063.855,14861.959999999963,0.9832835854068098,560802.555,569063.855,320000.0,320000.0,655.02,5945.64
2023-03-15,STS-U1,868794.201,885412.954,16618.753000000026,0.9812305061441421,555257.771,565412.954,320000.0,320000.0,806.46,5657.11
2023-03-16,STS-U1,871102.693,886976.222,15873.52899999998,0.982103771661198,557564.963,566976.222,320000.0,320000.0,751.09,5711.18
2023-03-17,STS-U1,868762.4990000001,883403.447,14640.947999999975,0.9834266573786643,554910.859,563403.447,320000.0,320000.0,675.64,5472.72
2023-03-18,STS-U1,788654.275,801922.548,13268.272999999928,0.9834544208376593,474180.015,481922.548,320000.0,320000.0,616.05,4909.69
2023-03-19,STS-U1,796649.09,810482.467,13833.376999999979,0.9829319231898943,482005.7,490482.467,320000.0,320000.0,675.11,4681.5
2023-03-20,STS-U1,872183.7989999999,887284.007,15100.2080000001,0.9829815393032323,558588.119,567284.007,320000.0,320000.0,692.14,5712.18
2023-03-21,STS-U1,874685.649,889660.169,14974.520000000019,0.9831682697261452,560647.779,569660.169,320000.0,320000.0,716.88,5245.25
2023-03-22,STS-U1,872186.4249999999,887575.7390000001,15389.31400000013,0.9826614075579186,558183.295,567575.7390000001,320000.0,320000.0,749.81,5247.06
2023-03-23,STS-U1,867808.829,881796.093,13987.263999999966,0.9841377568906965,553733.799,561796.093,320000.0,320000.0,639.48,5285.49
2023-03-24,STS-U1,868025.422,882394.634,14369.211999999941,0.9837156625320095,554039.292,562394.634,320000.0,320000.0,663.38,5350.49
2023-03-25,STS-U1,790372.238,804194.306,13822.06799999997,0.9828125269019251,476005.238,484194.306,320000.0,320000.0,653.85,4979.15
2023-03-26,STS-U1,789841.3979999999,804334.6869999999,14493.28899999999,0.9819810220369124,475778.978,484334.687,320000.0,320000.0,683.66,5253.92
2023-03-27,STS-U1,874659.8150000001,889757.951,15098.13599999994,0.983031187321191,561179.685,569757.951,320000.0,320000.0,683.57,5836.3
2023-03-28,STS-U1,868544.75,883088.687,14543.937000000034,0.9835306043276262,554398.48,563088.687,320000.0,320000.0,693.26,5160.47
2023-03-29,STS-U1,877826.649,891886.868,14060.219000000041,0.9842354232308306,563371.799,571886.868,320000.0,320000.0,678.18,4866.97
2023-03-30,STS-U1,869527.3430000001,885669.247,16141.903999999864,0.9817743428998164,556330.763,565669.247,320000.0,320000.0,744.19,6059.23
2023-03-31,STS-U1,867770.08,884280.156,16510.076,0.9813293605109464,554094.74,564280.156,320000.0,320000.0,810.56,5514.1
2023-04-01,STS-U1,1045988.4079999999,1071080.646,25092.238000000012,0.9765729703979732,734629.588,751080.646,320000.0,320000.0,1316.09,7325.09
2023-04-02,STS-U1,1048798.106,1075850.185,27052.079000000143,0.9748551616413021,737649.246,755850.185,320000.0,320000.0,1456.07,7395.07
2023-04-03,STS-U1,1115869.969,1176369.995,60500.02600000007,0.9485705804660548,811602.539,856369.995,314156.57,320000.0,1272.91,8616.23
2023-04-04,STS-U1,1144231.168,1172121.284,27890.11599999992,0.9762054350682707,833316.728,852121.284,320000.0,320000.0,1504.36,7581.2
2023-04-05,STS-U1,1139135.927,1166466.737,27330.810000000056,0.9765695761970107,828274.957,846466.737,320000.0,320000.0,1455.34,7683.69
2023-04-06,STS-U1,1140878.3210000002,1169375.278,28496.956999999704,0.975630614451899,830169.001,849375.278,320000.0,320000.0,1536.5,7754.18
2023-04-07,STS-U1,1138993.816,1166704.591,27710.774999999907,0.9762486792168628,828347.106,846704.591,320000.0,320000.0,1468.59,7884.7
2023-04-08,STS-U1,1050463.3,1074820.366,24357.065999999875,0.9773384774140018,738484.13,754820.366,320000.0,320000.0,1306.9,6713.93
2023-04-09,STS-U1,1049471.5280000002,1074587.687,25116.158999999752,0.9766271665831959,737498.018,754587.687,320000.0,320000.0,1367.17,6659.32
2023-04-10,STS-U1,1150373.8860000002,1178286.812,27912.925999999745,0.9763105843876663,839541.396,858286.812,320000.0,320000.0,1499.63,7667.88
2023-04-11,STS-U1,1140728.885,1167978.8399999999,27249.95499999984,0.9766691364031904,830531.955,847978.84,320000.0,320000.0,1395.76,8407.31
2023-04-12,STS-U1,1138576.572,1166524.023,27947.451000000117,0.9760421127649592,828463.312,846524.023,320000.0,320000.0,1444.52,8442.22
2023-04-13,STS-U1,1142321.0550000002,1170975.776,28654.720999999903,0.9755291940385965,831680.415,850975.776,320000.0,320000.0,1543.63,7815.73
2023-04-14,STS-U1,1145678.852,1174327.335,28648.483000000007,0.9756043462958307,835692.422,854327.335,320000.0,320000.0,1490.79,8522.78
2023-04-15,STS-U1,1055603.6220000002,1081533.308,25929.685999999754,0.9760250694008217,744601.572,761533.308,320000.0,320000.0,1354.54,7643.41
2023-04-16,STS-U1,1043184.2200000001,1067437.601,24253.380999999936,0.977278877025431,731410.1,747437.601,320000.0,320000.0,1282.2,6943.68
2023-04-17,STS-U1,1142457.4599999997,1169167.4640000002,26710.004000000423,0.9771546807258739,831597.15,849167.464,320000.0,320000.0,1405.62,7734.07
2023-04-18,STS-U1,1143297.958,1171721.21,28423.251999999862,0.9757423081895054,832807.118,851721.21,320000.0,320000.0,1513.13,7996.03
2023-04-19,STS-U1,1139642.239,1166190.142,26547.902999999933,0.9772353563592378,828867.929,846190.142,320000.0,320000.0,1385.78,7839.91
2023-04-20,STS-U1,1140787.4139999999,1166732.029,25944.615000000224,0.9777630043959303,829988.684,846732.029,320000.0,320000.0,1339.47,7861.8
2023-04-21,STS-U1,1145596.374,1173492.003,27895.628999999957,0.9762285308049091,834960.464,853492.003,320000.0,320000.0,1482.52,7881.57
2023-04-22,STS-U1,1057263.662,1081945.547,24681.88500000001,0.9771874979582498,745774.752,761945.547,320000.0,320000.0,1293.66,7217.43
2023-04-23,STS-U1,1049624.8010000002,1074380.883,24756.081999999704,0.9769578159927109,737638.211,754380.883,320000.0,320000.0,1339.41,6674.0
2023-04-24,STS-U1,1145647.014,1172165.567,26518.553000000073,0.9773764442954328,834567.184,852165.567,320000.0,320000.0,1407.88,7512.29
2023-04-25,STS-U1,1141339.1009999998,1169607.0729999999,28267.972000000067,0.9758312234488342,830910.141,849607.073,320000.0,320000.0,1495.19,8075.85
2023-04-26,STS-U1,1142713.3499999999,1170569.2650000001,27855.91500000027,0.9762031040512581,831968.34,850569.265,320000.0,320000.0,1488.08,7766.91
2023-04-27,STS-U1,1143894.7600000002,1170900.7850000001,27006.024999999907,0.9769356846062752,832786.12,850900.785,320000.0,320000.0,1449.17,7442.19
2023-04-28,STS-U1,1143111.785,1170103.292,26991.506999999983,0.9769323723943509,832743.665,850103.292,320000.0,320000.0,1388.77,8243.11
2023-04-29,STS-U1,1056946.447,1081407.879,24461.43200000003,0.9773800131522807,745042.237,761407.879,320000.0,320000.0,1309.25,6786.54
2023-04-30,STS-U1,1048073.896,1072761.5520000001,24687.656000000192,0.976986818781887,736386.346,752761.552,320000.0,320000.0,1310.01,7002.44
2023-05-01,STS-U1,1143867.384,1171405.486,27538.101999999955,0.9764914008606581,833159.764,851405.486,320000.0,320000.0,1459.66,7832.72
2023-05-02,STS-U1,1135214.4740000002,1162025.3930000002,26810.918999999994,0.976927424166883,824370.074,842025.393,320000.0,320000.0,1412.43,7743.17
2023-05-03,STS-U1,1143027.014,1171492.158,28465.144000000088,0.9757018057648832,832565.034,851492.158,320000.0,320000.0,1514.17,8023.85
2023-05-04,STS-U1,1139959.715,1167474.621,27514.90599999996,0.9764321163774574,828712.815,847474.621,320000.0,320000.0,1500.95,7252.15
2023-05-05,STS-U1,1145359.979,1174168.389,28808.409999999916,0.9754648393962172,835399.209,854168.389,320000.0,320000.0,1501.54,8537.69
2023-05-06,STS-U1,1059072.5480000002,1083915.348,24842.799999999814,0.9770804979873762,747738.438,763915.348,320000.0,320000.0,1294.15,7371.74
2023-05-07,STS-U1,1052228.5819999997,1076546.1809999999,24317.599000000162,0.9774114669401255,740645.232,756546.181,320000.0,320000.0,1272.08,7144.57
2023-05-08,STS-U1,1140857.29,1168834.074,27976.783999999985,0.9760643665150371,830089.29,848834.074,320000.0,320000.0,1499.59,7732.41
2023-05-09,STS-U1,1143603.8769999999,1171093.972,27490.095000000205,0.976526140807426,832826.997,851093.972,320000.0,320000.0,1461.36,7761.76
2023-05-10,STS-U1,1135551.4319999998,1162409.8530000001,26858.421000000322,0.9768941901768271,825164.852,842409.853,320000.0,320000.0,1379.6,8233.82
2023-05-11,STS-U1,1140669.3809999998,1169148.703,28479.32200000016,0.9756409754149125,830546.411,849148.703,320000.0,320000.0,1487.52,8389.51
2023-05-12,STS-U1,322464.926,1178758.3939999999,856293.4679999999,0.2735632065412041,330309.306,858758.394,110000.0,320000.0,110618.28,7226.1
2023-05-13,STS-U1,1015719.6980000001,1071462.517,55742.8189999999,0.9479750172165846,724510.468,751462.517,316235.69,320000.0,1208.74,23817.72
2023-05-14,STS-U1,1036422.235,1074332.2859999998,37910.05099999986,0.9647129184387186,737637.685,754332.286,320000.0,320000.0,1335.57,19879.88
2023-05-15,STS-U1,1148118.4009999998,1175374.595,27256.194000000134,0.9768106320181268,836798.821,855374.595,320000.0,320000.0,1486.06,7194.36
2023-05-16,STS-U1,1145408.5369999998,1173028.429,27619.892000000225,0.9764542006679702,834952.397,853028.429,320000.0,320000.0,1446.08,8097.78
2023-05-17,STS-U1,1147029.741,1175162.145,28132.404000000097,0.9760608320139514,836408.841,855162.145,320000.0,320000.0,1500.26,7878.84
2023-05-18,STS-U1,1136638.021,1162873.979,26235.9580000001,0.9774386920046475,825242.631,842873.979,320000.0,320000.0,1410.51,7194.1
2023-05-19,STS-U1,1134797.486,1162834.595,28037.10899999994,0.9758889964913712,824340.706,842834.595,320000.0,320000.0,1479.51,8063.71
2023-05-20,STS-U1,1052564.935,1077607.847,25042.91200000001,0.9767606443571119,740413.035,757607.847,320000.0,320000.0,1375.58,6472.52
2023-05-21,STS-U1,1044635.675,1069829.341,25193.66599999997,0.976450761785566,732680.335,749829.341,320000.0,320000.0,1371.92,6672.74
2023-05-22,STS-U1,1143873.18,1170287.581,26414.40100000007,0.9774291367106287,832611.2,850287.581,320000.0,320000.0,1414.11,7323.91
