date,unit_id,coal_cost_actual,coal_cost_reference,fuel_overburn_cost
2023-01-01,STS-U1,292923.29,281687.78,4494.2
2023-01-02,STS-U1,314681.1,303800.55,4352.22
2023-01-03,STS-U1,319980.59,307598.06,4953.01
2023-01-04,STS-U1,317862.41,305246.77,5046.26
2023-01-05,STS-U1,316550.09,304287.77,4904.93
2023-01-06,STS-U1,315668.32,302909.21,5103.64
2023-01-07,STS-U1,294297.1,283576.67,4288.17
2023-01-08,STS-U1,297073.71,286213.72,4343.99
2023-01-09,STS-U1,321382.73,309961.64,4582.27
2023-01-10,STS-U1,325766.77,313086.24,5072.21
2023-01-11,STS-U1,321381.2,309060.72,4928.19
2023-01-12,STS-U1,322525.74,310025.48,5000.1
2023-01-13,STS-U1,322195.32,309593.35,5040.79
2023-01-14,STS-U1,297554.16,286537.29,4406.75
2023-01-15,STS-U1,303938.06,292303.98,4653.63
2023-01-16,STS-U1,319724.22,307310.17,4965.62
2023-01-17,STS-U1,319409.06,308099.76,4523.72
2023-01-18,STS-U1,327094.33,314995.07,4839.7
2023-01-19,STS-U1,324442.82,311651.41,5116.57
2023-01-20,STS-U1,328091.8,314430.65,5464.46
2023-01-21,STS-U1,303112.14,292756.14,4142.4
2023-01-22,STS-U1,309447.21,297355.33,4838.26
2023-01-23,STS-U1,326053.51,314505.59,4619.17
2023-01-24,STS-U1,327650.49,314898.74,5100.7
2023-01-25,STS-U1,330768.74,317800.62,5187.25
2023-01-26,STS-U1,327134.16,314720.88,4965.31
2023-01-27,STS-U1,329857.99,316322.28,5414.28
2023-01-28,STS-U1,306076.36,294276.68,4719.87
2023-01-29,STS-U1,307124.97,295347.51,4710.99
2023-01-30,STS-U1,329715.33,317260.56,4981.91
2023-01-31,STS-U1,332307.54,319169.29,5255.3
2023-02-01,STS-U1,333676.53,321276.52,4960.01
2023-02-02,STS-U1,331132.9,318217.96,5165.97
2023-02-03,STS-U1,333319.02,320104.28,5285.9
2023-02-04,STS-U1,309808.88,299001.21,4323.07
2023-02-05,STS-U1,311324.28,299547.15,4710.85
2023-02-06,STS-U1,334376.33,321770.95,5042.15
2023-02-07,STS-U1,329453.71,316896.03,5023.07
2023-02-08,STS-U1,331651.34,318564.36,5234.79
2023-02-09,STS-U1,333383.79,320675.31,5088.42
2023-02-10,STS-U1,334445.94,321676.17,5107.91
2023-02-11,STS-U1,311980.36,299652.07,4931.32
2023-02-12,STS-U1,316292.11,304372.39,4767.89
2023-02-13,STS-U1,336131.58,322586.22,5418.15
2023-02-14,STS-U1,275595.32,240423.5,14068.73
2023-02-15,STS-U1,373846.82,321817.15,20811.87
2023-02-16,STS-U1,356257.38,328639.55,11047.13
2023-02-17,STS-U1,336808.02,323912.77,5158.1
2023-02-18,STS-U1,312733.26,301581.88,4460.55
2023-02-19,STS-U1,313198.78,300268.94,5171.94
2023-02-20,STS-U1,338510.84,324388.78,5648.82
2023-02-21,STS-U1,342880.99,328495.49,5754.2
2023-02-22,STS-U1,336951.73,323281.65,5468.03
2023-02-23,STS-U1,339718.55,326226.4,5396.86
2023-02-24,STS-U1,341600.11,328855.39,5097.89
2023-02-25,STS-U1,312927.8,301616.74,4524.43
2023-02-26,STS-U1,316184.82,305240.84,4377.59
2023-02-27,STS-U1,340989.07,328003.17,5194.36
2023-02-28,STS-U1,344955.8,331069.78,5554.41
2023-03-01,STS-U1,341446.11,328229.33,5286.71
2023-03-02,STS-U1,342154.7,329019.17,5254.21
2023-03-03,STS-U1,344072.28,329071.02,6000.51
2023-03-04,STS-U1,319253.69,307036.55,4886.85
2023-03-05,STS-U1,320081.45,306668.95,5365.0
2023-03-06,STS-U1,341506.9,328888.78,5047.25
2023-03-07,STS-U1,348472.29,335385.66,5234.65
2023-03-08,STS-U1,344540.53,330875.14,5466.16
2023-03-09,STS-U1,286157.05,271794.47,5745.04
2023-03-10,STS-U1,382938.34,329991.94,21178.56
2023-03-11,STS-U1,350587.01,303978.74,18643.31
2023-03-12,STS-U1,320423.98,308769.11,4661.95
2023-03-13,STS-U1,344776.85,330828.08,5579.51
2023-03-14,STS-U1,348034.51,333170.41,5945.64
2023-03-15,STS-U1,342805.29,328662.51,5657.11
2023-03-16,STS-U1,343285.43,329007.47,5711.18
2023-03-17,STS-U1,345705.01,332023.22,5472.72
2023-03-18,STS-U1,322255.84,309981.61,4909.69
2023-03-19,STS-U1,320246.86,308543.12,4681.5
2023-03-20,STS-U1,345412.98,331132.54,5712.18
2023-03-21,STS-U1,345647.38,332534.26,5245.25
2023-03-22,STS-U1,346468.39,333350.74,5247.06
2023-03-23,STS-U1,345601.54,332387.83,5285.49
2023-03-24,STS-U1,343838.0,330461.76,5350.49
2023-03-25,STS-U1,321294.9,308847.03,4979.15
2023-03-26,STS-U1,324802.07,311667.28,5253.92
2023-03-27,STS-U1,349895.92,335305.19,5836.3
2023-03-28,STS-U1,343489.55,330588.37,5160.47
2023-03-29,STS-U1,344872.88,332705.46,4866.97
2023-03-30,STS-U1,347614.33,332466.26,6059.23
2023-03-31,STS-U1,345868.09,332082.84,5514.1
2023-04-01,STS-U1,374712.1,356399.37,7325.09
2023-04-02,STS-U1,374843.95,356356.27,7395.07
2023-04-03,STS-U1,392450.77,370910.19,8616.23
2023-04-04,STS-U1,398856.44,379903.43,7581.2
2023-04-05,STS-U1,399519.25,380310.02,7683.69
2023-04-06,STS-U1,394758.93,375373.49,7754.18
2023-04-07,STS-U1,400959.85,381248.1,7884.7
2023-04-08,STS-U1,374620.98,357836.15,6713.93
2023-04-09,STS-U1,369805.55,353157.25,6659.32
2023-04-10,STS-U1,402523.41,383353.71,7667.88
2023-04-11,STS-U1,402036.2,381017.92,8407.31
2023-04-12,STS-U1,404104.45,382998.91,8442.22
2023-04-13,STS-U1,396692.86,377153.54,7815.73
2023-04-14,STS-U1,400159.1,378852.15,8522.78
2023-04-15,STS-U1,377417.93,358309.4,7643.41
2023-04-16,STS-U1,374481.23,357122.03,6943.68
2023-04-17,STS-U1,398511.71,379176.53,7734.07
2023-04-18,STS-U1,396742.63,376752.57,7996.03
2023-04-19,STS-U1,401075.94,381476.17,7839.91
2023-04-20,STS-U1,397811.9,378157.4,7861.8
2023-04-21,STS-U1,396913.43,377209.51,7881.57
2023-04-22,STS-U1,369092.24,351048.66,7217.43
2023-04-23,STS-U1,369962.75,353277.74,6674.0
2023-04-24,STS-U1,399333.86,380553.14,7512.29
2023-04-25,STS-U1,397807.72,377618.1,8075.85
2023-04-26,STS-U1,395996.82,376579.53,7766.91
2023-04-27,STS-U1,396220.59,377615.11,7442.19
2023-04-28,STS-U1,397147.67,376539.9,8243.11
2023-04-29,STS-U1,368023.06,351056.7,6786.54
2023-04-30,STS-U1,367215.35,349709.25,7002.44
2023-05-01,STS-U1,397107.72,377525.92,7832.72
2023-05-02,STS-U1,395029.19,375671.26,7743.17
2023-05-03,STS-U1,397013.69,376954.08,8023.85
2023-05-04,STS-U1,392622.0,374491.62,7252.15
2023-05-05,STS-U1,399767.64,378423.41,8537.69
2023-05-06,STS-U1,370994.28,352564.92,7371.74
2023-05-07,STS-U1,372304.84,354443.4,7144.57
2023-05-08,STS-U1,393053.8,373722.79,7732.41
2023-05-09,STS-U1,391755.19,372350.79,7761.76
2023-05-10,STS-U1,395743.01,375158.47,8233.82
2023-05-11,STS-U1,394921.22,373947.43,8389.51
2023-05-12,STS-U1,155552.54,137487.3,7226.1
2023-05-13,STS-U1,407293.26,347748.96,23817.72
2023-05-14,STS-U1,397036.48,347336.78,19879.88
2023-05-15,STS-U1,386977.49,368991.59,7194.36
2023-05-16,STS-U1,388896.68,368652.24,8097.78
2023-05-17,STS-U1,393333.51,373636.4,7878.84
2023-05-18,STS-U1,384691.51,366706.27,7194.1
2023-05-19,STS-U1,389918.99,369759.71,8063.71
2023-05-20,STS-U1,364694.52,348513.22,6472.52
2023-05-21,STS-U1,362577.49,345895.64,6672.74
2023-05-22,STS-U1,389960.47,371650.68,7323.91
2023-05-23,STS-U1,387559.22,368401.08,7663.25
2023-05-24,STS-U1,383530.76,363672.62,7943.25
2023-05-25,STS-U1,386280.83,368214.41,7226.57
2023-05-26,STS-U1,390552.9,371699.06,7541.54
2023-05-27,STS-U1,358910.51,341871.42,6815.64
2023-05-28,STS-U1,359378.19,342363.37,6805.93
2023-05-29,STS-U1,388975.54,369590.43,7754.04
2023-05-30,STS-U1,383437.74,363406.41,8012.53
2023-05-31,STS-U1,385409.39,366407.74,7600.66
2023-06-01,STS-U1,379976.52,361411.19,7426.13
2023-06-02,STS-U1,379274.54,360763.7,7404.34
2023-06-03,STS-U1,361014.82,343243.43,7108.56
2023-06-04,STS-U1,356002.44,339469.5,6613.18
2023-06-05,STS-U1,386267.02,367030.74,7694.51
2023-06-06,STS-U1,381102.06,362150.05,7580.81
2023-06-07,STS-U1,380598.91,362177.51,7368.56
2023-06-08,STS-U1,378261.83,359590.68,7468.46
2023-06-09,STS-U1,383437.27,363527.71,7963.82
2023-06-10,STS-U1,351151.84,334662.57,6595.71
2023-06-11,STS-U1,357659.03,339741.67,7166.94
2023-06-12,STS-U1,377372.63,359206.85,7266.31
2023-06-13,STS-U1,381426.37,362358.25,7627.25
2023-06-14,STS-U1,373028.59,354128.57,7560.01
2023-06-15,STS-U1,371215.58,353660.35,7022.09
2023-06-16,STS-U1,375008.45,357329.69,7071.5
2023-06-17,STS-U1,354345.84,338475.24,6348.24
2023-06-18,STS-U1,349656.69,333546.21,6444.19
2023-06-19,STS-U1,373545.85,354236.67,7723.67
2023-06-20,STS-U1,372686.95,354315.03,7348.77
2023-06-21,STS-U1,370347.26,353107.56,6895.88
2023-06-22,STS-U1,367306.66,348338.27,7587.35
2023-06-23,STS-U1,369676.28,351818.13,7143.26
2023-06-24,STS-U1,350274.34,333740.83,6613.4
2023-06-25,STS-U1,344200.67,327996.18,6481.8
2023-06-26,STS-U1,371056.77,352829.6,7290.87
