timestamp,unit_id,net_station_heat_rate,ppa_reference_heat_rate,aux_load_mw,fuel_heat_input_mmbtu,ramp_rate_mw_per_min,restart_flag,heat_rate_deviation_percent,fuel_cost_impact_usd
2023-01-01T00:00:00Z,STS-U1,9296.144,9254.762,51.03,4689.28,0.0,0,0.447,59.49
2023-01-01T01:00:00Z,STS-U1,9759.616,9292.229,49.529,4765.238,0.244,0,5.03,650.45
2023-01-01T02:00:00Z,STS-U1,9728.948,9326.535,49.046,4622.718,0.21,0,4.315,545.04
2023-01-01T03:00:00Z,STS-U1,9808.649,9358.211,48.802,4549.488,0.185,0,4.813,595.6
2023-01-01T04:00:00Z,STS-U1,9513.986,9348.972,48.551,4440.679,0.053,0,1.765,219.59
2023-01-01T05:00:00Z,STS-U1,9615.944,9360.749,48.719,4450.983,0.067,0,2.726,336.81
2023-01-01T06:00:00Z,STS-U1,9466.353,9370.373,48.723,4350.942,0.054,0,1.024,125.8
2023-01-01T07:00:00Z,STS-U1,9713.399,9395.191,48.205,4379.698,0.137,0,3.387,409.18
2023-01-01T08:00:00Z,STS-U1,9807.762,9434.243,47.459,4293.173,0.207,0,3.959,466.33
2023-01-01T09:00:00Z,STS-U1,9779.129,9460.858,47.41,4200.534,0.136,0,3.364,389.95
2023-01-01T10:00:00Z,STS-U1,9741.035,9479.21,46.844,4125.291,0.091,0,2.762,316.31
2023-01-01T11:00:00Z,STS-U1,9828.122,9509.506,47.224,4079.23,0.147,0,3.351,377.29
2023-01-01T12:00:00Z,STS-U1,9839.081,9484.892,47.744,4159.187,0.119,0,3.734,427.19
2023-01-01T13:00:00Z,STS-U1,9979.062,9438.221,48.468,4365.933,0.234,0,5.73,675.2
2023-01-01T14:00:00Z,STS-U1,9740.725,9395.573,48.226,4391.009,0.225,0,3.674,444.02
2023-01-01T15:00:00Z,STS-U1,9743.369,9297.208,50.094,4744.521,0.572,0,4.799,620.06
2023-01-01T16:00:00Z,STS-U1,9712.098,9216.688,50.384,5048.82,0.544,0,5.375,735.09
2023-01-01T17:00:00Z,STS-U1,9564.48,9154.79,52.129,5270.893,0.492,0,4.475,644.49
2023-01-01T18:00:00Z,STS-U1,9543.771,9136.473,51.984,5351.899,0.164,0,4.458,652.05
2023-01-01T19:00:00Z,STS-U1,9559.503,9118.101,52.332,5464.859,0.176,0,4.841,720.44
2023-01-01T20:00:00Z,STS-U1,9499.762,9103.166,52.552,5520.143,0.153,0,4.357,658.04
2023-01-01T21:00:00Z,STS-U1,9646.957,9134.459,52.42,5424.768,0.31,0,5.611,822.97
2023-01-01T22:00:00Z,STS-U1,9689.169,9171.325,50.664,5244.194,0.322,0,5.646,800.45
2023-01-01T23:00:00Z,STS-U1,9641.034,9217.455,50.754,5012.2,0.358,0,4.595,628.96
2023-01-02T00:00:00Z,STS-U1,9586.44,9160.891,51.777,5249.496,0.445,0,4.645,665.63
2023-01-02T01:00:00Z,STS-U1,9567.707,9187.533,51.201,5108.649,0.218,0,4.138,579.89
2023-01-02T02:00:00Z,STS-U1,9662.793,9223.873,50.643,4995.421,0.274,0,4.759,648.28
2023-01-02T03:00:00Z,STS-U1,9302.17,9230.157,50.367,4781.31,0.045,0,0.78,105.76
2023-01-02T04:00:00Z,STS-U1,9496.753,9249.06,49.44,4797.451,0.132,0,2.678,357.55
2023-01-02T05:00:00Z,STS-U1,9424.905,9249.342,50.135,4766.623,0.002,0,1.898,253.74
2023-01-02T06:00:00Z,STS-U1,9639.003,9272.534,50.143,4785.397,0.155,0,3.952,519.99
2023-01-02T07:00:00Z,STS-U1,9436.402,9284.984,49.819,4636.208,0.08,0,1.631,212.64
2023-01-02T08:00:00Z,STS-U1,9558.603,9293.336,49.361,4661.483,0.053,0,2.854,369.8
2023-01-02T09:00:00Z,STS-U1,9742.26,9355.571,49.369,4533.032,0.373,0,4.133,514.38
2023-01-02T10:00:00Z,STS-U1,9387.832,9354.72,49.215,4369.413,0.005,0,0.354,44.06
