date,unit_id,loss_category,system,subsystem,component,loss_usd,linked_event_id
2023-01-01,STS-U1,Energy,Boiler,Air & Flue Gas Path,ID Fan / Dampers,1052.63,
2023-01-01,STS-U1,Energy,Boiler,Combustion Control,O₂ Trim / Draft Loop,233.92,
2023-01-01,STS-U1,Energy,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,701.75,
2023-01-01,STS-U1,Energy,Boiler,Heat Transfer Surfaces,Superheater / Economizer,350.88,
2023-01-01,STS-U1,Energy,Controls,Actuators,Damper / Valve Actuators,229.19,
2023-01-01,STS-U1,Energy,Controls,DCS & Control Logic,Unit DCS,572.98,
2023-01-01,STS-U1,Energy,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,343.79,
2023-01-01,STS-U1,Energy,Cooling,Circulating Water System,CW Pumps / Strainers,329.92,
2023-01-01,STS-U1,Energy,Cooling,Condenser & Vacuum,Surface Condenser,549.87,
2023-01-01,STS-U1,Energy,Cooling,Cooling Tower,CT Fans / Fill,219.95,
2023-01-01,STS-U1,Energy,Electrical,Station Service,Aux Transformer / MCC,192.09,
2023-01-01,STS-U1,Energy,Electrical,Switchyard,Breakers / Protection,288.13,
2023-01-01,STS-U1,Energy,Electrical,Transformers,GSU Transformer,480.22,
2023-01-01,STS-U1,Energy,Turbine,Bearings & Vibration,Turbine Bearing #2,1291.58,
2023-01-01,STS-U1,Energy,Turbine,Lube Oil System,Lube Oil / Coolers,469.66,
2023-01-01,STS-U1,Energy,Turbine,Steam Path & Valves,HP Control Valves,587.08,
2023-01-01,STS-U1,Penalty,Boiler,Air & Flue Gas Path,ID Fan / Dampers,735.08,
2023-01-01,STS-U1,Penalty,Boiler,Combustion Control,O₂ Trim / Draft Loop,163.35,
2023-01-01,STS-U1,Penalty,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,490.05,
2023-01-01,STS-U1,Penalty,Boiler,Heat Transfer Surfaces,Superheater / Economizer,245.02,
2023-01-01,STS-U1,Penalty,Controls,Actuators,Damper / Valve Actuators,69.45,
2023-01-01,STS-U1,Penalty,Controls,DCS & Control Logic,Unit DCS,173.62,
2023-01-01,STS-U1,Penalty,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,104.17,
2023-01-01,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,539.3,EVT-2024-06-AUXDRIFT
2023-01-01,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,42.1,
2023-01-01,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,898.84,EVT-2024-06-AUXDRIFT
2023-01-01,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,70.16,
2023-01-01,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,359.54,EVT-2024-06-AUXDRIFT
2023-01-01,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,28.06,
2023-01-01,STS-U1,Penalty,Electrical,Station Service,Aux Transformer / MCC,48.09,
2023-01-01,STS-U1,Penalty,Electrical,Switchyard,Breakers / Protection,72.14,
2023-01-01,STS-U1,Penalty,Electrical,Transformers,GSU Transformer,120.23,
2023-01-01,STS-U1,Penalty,Turbine,Bearings & Vibration,Turbine Bearing #2,578.73,
2023-01-01,STS-U1,Penalty,Turbine,Lube Oil System,Lube Oil / Coolers,210.46,
2023-01-01,STS-U1,Penalty,Turbine,Steam Path & Valves,HP Control Valves,263.06,
2023-01-02,STS-U1,Energy,Boiler,Air & Flue Gas Path,ID Fan / Dampers,1024.6,
2023-01-02,STS-U1,Energy,Boiler,Combustion Control,O₂ Trim / Draft Loop,227.69,
2023-01-02,STS-U1,Energy,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,683.06,
2023-01-02,STS-U1,Energy,Boiler,Heat Transfer Surfaces,Superheater / Economizer,341.53,
2023-01-02,STS-U1,Energy,Controls,Actuators,Damper / Valve Actuators,301.2,
2023-01-02,STS-U1,Energy,Controls,DCS & Control Logic,Unit DCS,752.99,
2023-01-02,STS-U1,Energy,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,451.8,
2023-01-02,STS-U1,Energy,Cooling,Circulating Water System,CW Pumps / Strainers,380.97,
2023-01-02,STS-U1,Energy,Cooling,Condenser & Vacuum,Surface Condenser,634.95,
2023-01-02,STS-U1,Energy,Cooling,Cooling Tower,CT Fans / Fill,253.98,
2023-01-02,STS-U1,Energy,Electrical,Station Service,Aux Transformer / MCC,244.19,
2023-01-02,STS-U1,Energy,Electrical,Switchyard,Breakers / Protection,366.28,
2023-01-02,STS-U1,Energy,Electrical,Transformers,GSU Transformer,610.47,
2023-01-02,STS-U1,Energy,Turbine,Bearings & Vibration,Turbine Bearing #2,1212.78,
2023-01-02,STS-U1,Energy,Turbine,Lube Oil System,Lube Oil / Coolers,441.01,
2023-01-02,STS-U1,Energy,Turbine,Steam Path & Valves,HP Control Valves,551.26,
2023-01-02,STS-U1,Penalty,Boiler,Air & Flue Gas Path,ID Fan / Dampers,713.0,
2023-01-02,STS-U1,Penalty,Boiler,Combustion Control,O₂ Trim / Draft Loop,158.44,
2023-01-02,STS-U1,Penalty,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,475.33,
2023-01-02,STS-U1,Penalty,Boiler,Heat Transfer Surfaces,Superheater / Economizer,237.67,
2023-01-02,STS-U1,Penalty,Controls,Actuators,Damper / Valve Actuators,73.1,
2023-01-02,STS-U1,Penalty,Controls,DCS & Control Logic,Unit DCS,182.76,
2023-01-02,STS-U1,Penalty,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,109.66,
2023-01-02,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,522.27,EVT-2024-06-AUXDRIFT
2023-01-02,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,48.63,
2023-01-02,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,870.44,EVT-2024-06-AUXDRIFT
2023-01-02,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,81.06,
2023-01-02,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,348.18,EVT-2024-06-AUXDRIFT
2023-01-02,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,32.42,
2023-01-02,STS-U1,Penalty,Electrical,Station Service,Aux Transformer / MCC,39.6,
2023-01-02,STS-U1,Penalty,Electrical,Switchyard,Breakers / Protection,59.39,
2023-01-02,STS-U1,Penalty,Electrical,Transformers,GSU Transformer,98.99,
2023-01-02,STS-U1,Penalty,Turbine,Bearings & Vibration,Turbine Bearing #2,554.61,
