event_id,unit_id,linked_asset_id,duration_hours,mw_unavailable,missing_mwh,energy_revenue_loss_usd,capacity_loss_alloc_usd,penalties_alloc_usd,event_revenue_impact_usd,root_cause_category,root_cause_detail,type,start_time,end_time
EVT-2023-02-TB-VIB,STS-U1,STS-U1-TB-BRG2,6.5,660.0,4290.0,126651.78300000002,86666.67000000001,41501.52,254819.97300000003,Turbine-side,Turbine vibration alarm; BRG2 high overall.,Forced,2023-02-14T02:00:00Z,2023-02-14T08:30:00Z
EVT-DRAFT-20230303-01,STS-U1,STS-U1-IDF-A,2.0833333333333335,97.0,202.08333333333334,2418.291,4082.4899999999907,833.25,7334.030999999991,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2023-03-03T06:47:00Z,2023-03-03T08:52:00Z
EVT-DRAFT-20230305-02,STS-U1,STS-U1-IDF-A,1.1166666666666667,103.0,115.01666666666667,843.75,2254.210000000021,705.18,3803.140000000021,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2023-03-05T11:08:00Z,2023-03-05T12:15:00Z
EVT-DRAFT-20230309-03,STS-U1,STS-U1-IDF-A,3.216666666666667,114.0,366.7,3874.5370000000003,7393.774944946979,2666.429662567334,13934.741607514314,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2023-03-09T06:12:00Z,2023-03-09T09:25:00Z
EVT-2023-03-MILLTRIP,STS-U1,STS-U1-MILL-3,3.9166666666666665,660.0,2585.0,132782.175,52121.37505505302,18796.620337432665,203700.17039248566,Boiler-side,Mill trip (Mill 3); flame instability.,Forced,2023-03-09T18:20:00Z,2023-03-09T22:15:00Z
EVT-DRAFT-20230403-04,STS-U1,STS-U1-IDF-A,3.2333333333333334,89.0,287.76666666666665,28856.11,5843.429999999993,1272.91,35972.45,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2023-04-03T17:13:00Z,2023-04-03T20:27:00Z
EVT-2023-05-TUBELEAK,STS-U1,STS-U1-SH-OUT,15.75,660.0,10395.0,520778.50099999993,210000.0,110618.28,841396.781,Boiler-side,Boiler tube leak; draft swing; protective trip.,Forced,2023-05-12T03:15:00Z,2023-05-12T19:00:00Z
EVT-DRAFT-20230513-05,STS-U1,STS-U1-IDF-A,2.216666666666667,86.0,190.63333333333335,11922.192000000001,3764.3099999999977,1208.74,16895.242,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2023-05-13T17:52:00Z,2023-05-13T20:05:00Z
EVT-DRAFT-20230524-06,STS-U1,STS-U1-IDF-A,2.1,66.0,138.6,13309.094000000001,2777.780000000028,1295.79,17382.66400000003,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2023-05-24T16:58:00Z,2023-05-24T19:04:00Z
EVT-2023-07-WETCOAL,STS-U1,STS-U1-MILL-3,1488.0,45.0,66960.0,5011691.949999999,21818.179999999993,1348.53,5034858.659999999,Fuel quality,Monsoon wet-coal reduced stable firing margin; sustained cap.,Partial Derate,2023-07-15T00:00:00Z,2023-09-15T00:00:00Z
EVT-2023-09-PM1,STS-U1,STS-U1-SH-OUT,168.0,660.0,110880.0,4080157.529,320000.0,0.0,4400157.529,Planned Maintenance,"Annual shutdown: SH inspection, APH wash, ID fan alignment.",Planned,2023-09-05T00:00:00Z,2023-09-12T00:00:00Z
EVT-DRAFT-20230927-07,STS-U1,STS-U1-IDF-A,3.3833333333333333,75.0,253.75,4243.152,5176.770000000019,1570.71,10990.63200000002,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2023-09-27T10:43:00Z,2023-09-27T14:06:00Z
EVT-DRAFT-20231104-08,STS-U1,STS-U1-IDF-A,1.3833333333333333,114.0,157.7,1327.435,3262.6300000000047,739.66,5329.725000000004,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2023-11-04T10:38:00Z,2023-11-04T12:01:00Z
EVT-DRAFT-20231108-09,STS-U1,STS-U1-IDF-A,1.9833333333333334,78.0,154.70000000000002,1694.055,3151.5200000000186,812.73,5658.3050000000185,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2023-11-08T10:49:00Z,2023-11-08T12:48:00Z
EVT-DRAFT-20231123-10,STS-U1,STS-U1-IDF-A,3.0,135.0,405.0,2935.952,8181.820000000007,826.29,11944.062000000009,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2023-11-23T12:05:00Z,2023-11-23T15:05:00Z
EVT-DRAFT-20231230-11,STS-U1,STS-U1-IDF-A,1.4666666666666666,126.0,184.79999999999998,1265.543,3818.179999999993,693.51,5777.232999999993,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2023-12-30T10:15:00Z,2023-12-30T11:43:00Z
EVT-DRAFT-20240106-12,STS-U1,STS-U1-IDF-A,3.1,67.0,207.70000000000002,3065.757,4173.400000000023,857.87,8097.027000000023,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2024-01-06T13:01:00Z,2024-01-06T16:07:00Z
EVT-DRAFT-20240112-13,STS-U1,STS-U1-IDF-A,3.3,126.0,415.79999999999995,2861.4390000000003,8484.849999999977,877.54,12223.828999999976,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2024-01-12T08:28:00Z,2024-01-12T11:46:00Z
EVT-2024-02-TB-VIB,STS-U1,STS-U1-TB-BRG2,4.166666666666667,660.0,2750.0,77554.585,55555.56,18254.39,151364.53500000003,Turbine-side,Turbine vibration alarm; BRG2 high overall.,Forced,2024-02-23T08:10:00Z,2024-02-23T12:20:00Z
EVT-2024-03-CW-CONSTR,STS-U1,STS-U1-CWP-2,8.5,660.0,5610.0,162576.244,113333.32999999999,61390.58,337300.15400000004,Cooling constraints,Condenser backpressure high; CW pump cavitation; trip.,Forced,2024-03-17T10:00:00Z,2024-03-17T18:30:00Z
EVT-DRAFT-20240408-14,STS-U1,STS-U1-IDF-A,3.4,127.0,431.8,5630.598,8765.98999999999,1932.08,16328.66799999999,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2024-04-08T10:14:00Z,2024-04-08T13:38:00Z
