caption,content_text,file_path_placeholder,linked_asset_id,linked_event_id,media_id,media_type,timestamp,transcript_text
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0001.mp4,STS-U1-CWP-2,EVT-2024-03-CW-CONSTR,MED-0001,video,2024-03-17T12:52:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0002.mp4,STS-U1-IDF-A,EVT-DRAFT-20231123-10,MED-0002,video,2023-11-23T14:25:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0003.jpg,STS-U1-IDF-A,EVT-DRAFT-20230303-01,MED-0003,image,2023-03-03T07:24:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0004.jpg,STS-U1-IDF-A,EVT-DRAFT-20240106-12,MED-0004,image,2024-01-06T14:41:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0005.jpg,STS-U1-IDF-A,EVT-DRAFT-20240106-12,MED-0005,image,2024-01-06T13:55:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0006.jpg,STS-U1-MILL-3,EVT-2024-07-WETCOAL,MED-0006,image,2024-07-15T00:08:00Z,
Field inspection captured.,Field inspection captured.,/media/MED-0007.jpg,STS-U1-IDF-A,EVT-DRAFT-20230403-04,MED-0007,image,2023-04-03T19:31:00Z,
Field inspection captured.,Field inspection captured.,/media/MED-0008.jpg,STS-U1-MILL-3,EVT-2023-07-WETCOAL,MED-0008,image,2023-07-15T02:50:00Z,
Maintenance finding documented.,Maintenance finding documented.,/media/MED-0009.jpg,STS-U1-MILL-3,EVT-2023-07-WETCOAL,MED-0009,image,2023-07-15T01:03:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0010.jpg,STS-U1-CWP-2,EVT-2024-03-CW-CONSTR,MED-0010,image,2024-03-17T10:02:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0011.mp4,STS-U1-IDF-A,EVT-DRAFT-20230524-06,MED-0011,video,2023-05-24T19:01:00Z,
Field inspection captured.,Field inspection captured.,/media/MED-0012.jpg,STS-U1-CWP-2,EVT-2024-03-CW-CONSTR,MED-0012,image,2024-03-17T11:29:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0013.jpg,STS-U1-IDF-A,EVT-DRAFT-20240512-16,MED-0013,image,2024-05-12T10:13:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0014.jpg,STS-U1-IDF-A,EVT-DRAFT-20231230-11,MED-0014,image,2023-12-30T12:14:00Z,
Field inspection captured.,Field inspection captured.,/media/MED-0015.jpg,STS-U1-IDF-A,EVT-DRAFT-20231230-11,MED-0015,image,2023-12-30T10:29:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0016.jpg,STS-U1-IDF-A,EVT-DRAFT-20241130-25,MED-0016,image,2024-11-30T12:59:00Z,
Field inspection captured.,Field inspection captured.,/media/MED-0017.jpg,STS-U1-CTF-BANK1,EVT-2024-09-PM2,MED-0017,image,2024-09-05T00:56:00Z,
Field inspection captured.,Field inspection captured.,/media/MED-0018.mp4,STS-U1-IDF-A,EVT-DRAFT-20240531-17,MED-0018,video,2024-05-31T08:30:00Z,
Maintenance finding documented.,Maintenance finding documented.,/media/MED-0019.jpg,STS-U1-IDF-A,EVT-DRAFT-20240112-13,MED-0019,image,2024-01-12T08:58:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0020.jpg,STS-U1-IDF-A,EVT-DRAFT-20230305-02,MED-0020,image,2023-03-05T13:47:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0021.jpg,STS-U1-TB-BRG2,EVT-2023-02-TB-VIB,MED-0021,image,2023-02-14T03:52:00Z,
Field inspection captured.,Field inspection captured.,/media/MED-0022.mp4,STS-U1-CTF-BANK1,EVT-2024-09-PM2,MED-0022,video,2024-09-05T02:43:00Z,
Maintenance finding documented.,Maintenance finding documented.,/media/MED-0023.jpg,STS-U1-IDF-A,EVT-DRAFT-20231108-09,MED-0023,image,2023-11-08T11:15:00Z,
Maintenance finding documented.,Maintenance finding documented.,/media/MED-0024.jpg,STS-U1-TB-BRG2,EVT-2024-02-TB-VIB,MED-0024,image,2024-02-23T10:33:00Z,
Field inspection captured.,Field inspection captured.,/media/MED-0025.jpg,STS-U1-IDF-A,EVT-DRAFT-20230927-07,MED-0025,image,2023-09-27T12:48:00Z,
Maintenance finding documented.,Maintenance finding documented.,/media/MED-0026.jpg,STS-U1-MILL-3,EVT-2023-07-WETCOAL,MED-0026,image,2023-07-15T00:09:00Z,
Maintenance finding documented.,Maintenance finding documented.,/media/MED-0027.jpg,STS-U1-IDF-A,EVT-DRAFT-20240415-15,MED-0027,image,2024-04-15T12:12:00Z,
Field inspection captured.,Field inspection captured.,/media/MED-0028.jpg,STS-U1-IDF-A,EVT-DRAFT-20230927-07,MED-0028,image,2023-09-27T11:17:00Z,
Maintenance finding documented.,Maintenance finding documented.,/media/MED-0029.jpg,STS-U1-IDF-A,EVT-DRAFT-20240112-13,MED-0029,image,2024-01-12T11:22:00Z,
Maintenance finding documented.,Maintenance finding documented.,/media/MED-0030.mp4,STS-U1-IDF-A,EVT-DRAFT-20230403-04,MED-0030,video,2023-04-03T19:57:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0031.jpg,STS-U1-SH-OUT,EVT-2023-05-TUBELEAK,MED-0031,image,2023-05-12T04:46:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0032.jpg,STS-U1-MILL-3,EVT-2023-03-MILLTRIP,MED-0032,image,2023-03-09T18:39:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0033.jpg,STS-U1-IDF-A,EVT-DRAFT-20241106-24,MED-0033,image,2024-11-06T11:50:00Z,
Field inspection captured.,Field inspection captured.,/media/MED-0034.jpg,STS-U1-IDF-A,EVT-DRAFT-20241130-25,MED-0034,image,2024-11-30T13:16:00Z,
Maintenance finding documented.,Maintenance finding documented.,/media/MED-0035.jpg,STS-U1-IDF-A,EVT-DRAFT-20230305-02,MED-0035,image,2023-03-05T11:27:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0036.jpg,STS-U1-IDF-A,EVT-DRAFT-20240408-14,MED-0036,image,2024-04-08T10:36:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0037.mp4,STS-U1-CTF-BANK1,EVT-2024-06-AUXDRIFT,MED-0037,video,2024-06-01T01:47:00Z,
