date,unit_id,miss_mwh,dsm_penalties_usd
2023-01-01,STS-U1,175.402,631.41
2023-01-02,STS-U1,177.235,678.17
2023-01-03,STS-U1,182.939,703.57
2023-01-04,STS-U1,170.162,653.23
2023-01-05,STS-U1,178.138,672.98
2023-01-06,STS-U1,186.026,713.16
2023-01-07,STS-U1,178.489,633.69
2023-01-08,STS-U1,182.488,653.24
2023-01-09,STS-U1,184.441,711.41
2023-01-10,STS-U1,169.881,648.24
2023-01-11,STS-U1,182.478,702.14
2023-01-12,STS-U1,178.3,682.2
2023-01-13,STS-U1,184.695,695.99
2023-01-14,STS-U1,184.761,657.01
2023-01-15,STS-U1,168.354,600.31
2023-01-16,STS-U1,177.584,686.07
2023-01-17,STS-U1,171.518,651.89
2023-01-18,STS-U1,181.773,698.74
2023-01-19,STS-U1,185.647,704.39
2023-01-20,STS-U1,175.151,676.84
2023-01-21,STS-U1,180.01,640.42
2023-01-22,STS-U1,183.183,647.43
2023-01-23,STS-U1,175.796,675.22
2023-01-24,STS-U1,181.448,691.57
2023-01-25,STS-U1,182.602,689.27
2023-01-26,STS-U1,183.32,686.16
2023-01-27,STS-U1,190.698,724.13
2023-01-28,STS-U1,177.091,647.22
2023-01-29,STS-U1,175.345,634.07
2023-01-30,STS-U1,182.588,703.54
2023-01-31,STS-U1,183.343,714.12
2023-02-01,STS-U1,186.677,709.24
2023-02-02,STS-U1,190.936,727.83
2023-02-03,STS-U1,179.899,684.49
2023-02-04,STS-U1,195.4,692.16
2023-02-05,STS-U1,171.355,614.5
2023-02-06,STS-U1,185.114,705.5
2023-02-07,STS-U1,185.189,704.2
2023-02-08,STS-U1,176.959,671.2
2023-02-09,STS-U1,176.904,668.29
2023-02-10,STS-U1,177.663,671.11
2023-02-11,STS-U1,168.952,600.45
2023-02-12,STS-U1,192.974,682.71
2023-02-13,STS-U1,179.212,692.15
2023-02-14,STS-U1,125.194,501.52
2023-02-15,STS-U1,174.26,667.19
2023-02-16,STS-U1,176.352,682.76
2023-02-17,STS-U1,177.375,665.4
2023-02-18,STS-U1,175.287,611.56
2023-02-19,STS-U1,180.004,645.92
2023-02-20,STS-U1,178.021,679.58
2023-02-21,STS-U1,167.243,630.57
2023-02-22,STS-U1,173.322,670.52
2023-02-23,STS-U1,181.1,679.45
2023-02-24,STS-U1,191.835,732.01
2023-02-25,STS-U1,183.869,663.83
2023-02-26,STS-U1,171.58,612.8
2023-02-27,STS-U1,166.822,636.48
2023-02-28,STS-U1,196.515,753.87
2023-03-01,STS-U1,169.596,645.08
