date,unit_id,availability_factor,capacity_payment_actual,capacity_payment_potential,availability_penalty
2023-05-19,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-18,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-17,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-01,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-30,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-13,STS-U1,1.0,320000.0,320000.0,0.0
2024-03-31,STS-U1,1.0,320000.0,320000.0,0.0
2024-05-07,STS-U1,1.0,320000.0,320000.0,0.0
2024-05-15,STS-U1,1.0,320000.0,320000.0,0.0
2024-07-17,STS-U1,0.9091,290909.09,320000.0,0.0
2024-09-16,STS-U1,1.0,320000.0,320000.0,0.0
2024-10-12,STS-U1,1.0,320000.0,320000.0,0.0
2024-11-18,STS-U1,1.0,320000.0,320000.0,0.0
2024-11-27,STS-U1,1.0,320000.0,320000.0,0.0
2024-12-09,STS-U1,1.0,320000.0,320000.0,0.0
