timestamp,unit_id,available_mw,dispatch_target_mw,net_generation_mw,delta_mw,delta_mwh,deviation_type,root_cause_category,active_event_id
2023-01-05 18:00:00+00:00,STS-U1,660.0,539.607,535.828,3.778,0.314855,5-min Miss,Boiler-side,
2023-01-08 12:50:00+00:00,STS-U1,660.0,407.33,394.684,12.646,1.053846,5-min Miss,Cooling constraints,
2023-04-03 17:20:00+00:00,STS-U1,571.0,617.671,519.486,98.186,8.182125,Technical Derate,Boiler-side,EVT-DRAFT-20230403-04
2023-04-16 08:00:00+00:00,STS-U1,660.0,488.148,478.965,9.183,0.76529,5-min Miss,Cooling constraints,
2023-04-20 07:15:00+00:00,STS-U1,660.0,537.103,525.224,11.879,0.989922,5-min Miss,Cooling constraints,
2023-07-11 09:30:00+00:00,STS-U1,660.0,404.282,393.503,10.779,0.89822,5-min Miss,Other,
2023-12-11 21:35:00+00:00,STS-U1,660.0,573.359,568.73,4.63,0.3858,5-min Miss,Boiler-side,
2024-03-06 00:50:00+00:00,STS-U1,660.0,488.809,483.729,5.08,0.423338,5-min Miss,Boiler-side,
2024-03-15 10:45:00+00:00,STS-U1,660.0,399.621,393.293,6.328,0.527329,5-min Miss,Boiler-side,
2024-03-31 21:55:00+00:00,STS-U1,660.0,542.536,536.428,6.107,0.508943,5-min Miss,Boiler-side,
2024-05-29 12:10:00+00:00,STS-U1,660.0,491.587,480.906,10.681,0.890051,5-min Miss,Cooling constraints,
2024-06-02 03:25:00+00:00,STS-U1,600.0,525.335,513.468,11.866,0.988839,5-min Miss,Cooling constraints,EVT-2024-06-AUXDRIFT
2024-06-06 06:35:00+00:00,STS-U1,600.0,541.15,529.037,12.113,1.009411,5-min Miss,Cooling constraints,EVT-2024-06-AUXDRIFT
2024-07-15 15:10:00+00:00,STS-U1,600.0,425.341,411.914,13.427,1.118884,5-min Miss,Cooling constraints,EVT-2024-06-AUXDRIFT
2024-09-03 16:10:00+00:00,STS-U1,600.0,509.655,495.933,13.721,1.143444,5-min Miss,Cooling constraints,EVT-2024-06-AUXDRIFT
