date,unit_id,coal_cost_actual,coal_cost_reference,fuel_overburn_cost
2023-05-19,STS-U1,389918.99,369759.71,8063.71
2023-06-18,STS-U1,349656.69,333546.21,6444.19
2023-10-17,STS-U1,288415.67,276947.22,4587.38
2023-11-01,STS-U1,292948.19,281913.75,4413.77
2023-11-30,STS-U1,301427.7,289347.07,4832.25
2023-12-13,STS-U1,306421.71,293416.45,5202.1
2024-03-31,STS-U1,320623.84,309070.73,4621.24
2024-05-07,STS-U1,396481.39,376719.37,7904.81
2024-05-15,STS-U1,391474.4,371617.62,7942.72
2024-07-17,STS-U1,303758.08,288728.47,6011.84
2024-09-16,STS-U1,270477.2,261609.99,3546.88
2024-10-12,STS-U1,267955.45,257726.79,4091.46
2024-11-18,STS-U1,296800.63,285565.72,4493.96
2024-11-27,STS-U1,302536.46,290414.47,4848.8
2024-12-09,STS-U1,306307.89,294605.99,4680.76
