timestamp,unit_id,net_station_heat_rate,ppa_reference_heat_rate,aux_load_mw,fuel_heat_input_mmbtu,ramp_rate_mw_per_min,restart_flag,heat_rate_deviation_percent,fuel_cost_impact_usd
2023-02-24 03:00:00+00:00,STS-U1,9322.452,9236.462,50.376,4766.9186,0.0237,0,0.931,136.14
2023-06-17 23:00:00+00:00,STS-U1,9489.823,9062.081,55.211,5819.4053,0.193,0,4.72,686.69
2023-07-11 14:00:00+00:00,STS-U1,9639.478,9323.842,49.347,4592.4185,0.3945,0,3.385,391.95
2023-09-14 08:00:00+00:00,STS-U1,9623.616,9374.525,48.57,4408.3449,0.1058,0,2.657,334.35
2023-10-11 14:00:00+00:00,STS-U1,9696.897,9263.63,50.723,4853.8846,0.3635,0,4.677,664.57
2023-11-12 03:00:00+00:00,STS-U1,9505.604,9345.576,48.99,4452.154,0.0246,0,1.712,231.66
2024-03-06 17:00:00+00:00,STS-U1,9501.853,9100.258,53.346,5546.6355,0.4476,0,4.413,609.88
2024-03-13 10:00:00+00:00,STS-U1,9449.884,9364.42,49.596,4370.6171,0.0449,0,0.913,103.17
2024-03-28 10:00:00+00:00,STS-U1,9688.228,9364.794,49.082,4474.642,0.1299,0,3.454,396.49
2024-06-26 22:00:00+00:00,STS-U1,9352.27,9042.302,66.247,6004.7332,0.0309,0,3.428,616.49
2024-08-30 23:00:00+00:00,STS-U1,9732.027,9166.0,59.097,5375.289,0.1718,0,6.175,893.37
2024-10-29 17:00:00+00:00,STS-U1,9653.038,9089.295,53.755,5709.2164,0.4538,0,6.202,867.05
2024-11-20 13:00:00+00:00,STS-U1,9746.073,9324.54,48.813,4635.5524,0.1711,0,4.521,527.49
2024-12-03 22:00:00+00:00,STS-U1,9625.308,9098.45,52.848,5625.2075,0.2471,0,5.791,826.59
2024-12-13 18:00:00+00:00,STS-U1,9635.974,9077.408,53.419,5777.1303,0.2284,0,6.153,916.53
