date,unit_id,loss_category,system,subsystem,component,loss_usd,linked_event_id
2023-01-08,STS-U1,Energy,Electrical,Transformer,GSU Transformer,490.29,
2023-01-18,STS-U1,Energy,Boiler,Furnace Draft,ID Fan / Dampers,227.11,
2023-03-11,STS-U1,Penalty,Turbine,Bearings,Turbine Bearing #2,138.81,
2023-05-03,STS-U1,Efficiency,Turbine,Bearings,Turbine Bearing #2,1604.77,
2023-06-12,STS-U1,Energy,Cooling,Condenser,Cooling Tower Fans,2717.82,
2023-06-14,STS-U1,Penalty,Controls,DCS,Unit Control Logic,104.2,
2023-06-19,STS-U1,Energy,Electrical,Transformer,GSU Transformer,402.28,
2023-10-29,STS-U1,Energy,Turbine,Bearings,Turbine Bearing #2,1308.74,
2024-01-04,STS-U1,Energy,Turbine,Bearings,Turbine Bearing #2,461.17,
2024-03-11,STS-U1,Energy,Controls,DCS,Unit Control Logic,289.38,
2024-03-16,STS-U1,Penalty,Turbine,Bearings,Turbine Bearing #2,102.63,
2024-03-25,STS-U1,Efficiency,Boiler,Furnace Draft,ID Fan / Dampers,1667.19,
2024-06-27,STS-U1,Energy,Electrical,Transformer,GSU Transformer,7474.27,
2024-08-23,STS-U1,Efficiency,Turbine,Bearings,Turbine Bearing #2,1064.66,
2024-11-18,STS-U1,Energy,Boiler,Furnace Draft,ID Fan / Dampers,2191.29,
