date,unit_id,miss_mwh,dsm_penalties_usd
2023-05-19,STS-U1,298.021,1479.51
2023-06-18,STS-U1,266.901,1251.25
2023-10-17,STS-U1,183.876,703.54
2023-11-01,STS-U1,184.187,703.23
2023-11-30,STS-U1,195.665,761.43
2023-12-13,STS-U1,184.758,707.35
2024-03-31,STS-U1,182.602,651.71
2024-05-07,STS-U1,297.888,1477.92
2024-05-15,STS-U1,291.098,1456.17
2024-07-17,STS-U1,311.22,1327.38
2024-09-16,STS-U1,313.011,1351.99
2024-10-12,STS-U1,179.953,641.37
2024-11-18,STS-U1,173.098,670.36
2024-11-27,STS-U1,172.199,657.64
2024-12-09,STS-U1,178.863,680.29
