month,unit_id,actual_total_revenue,max_potential_revenue,revenue_capture_ratio,total_revenue_loss
2023-01,STS-U1,26248285.56,26681758.9,0.9838,433473.34
2023-02,STS-U1,23413759.8,24093728.68,0.9718,679968.88
2023-03,STS-U1,26087476.64,26796621.41,0.9735,709144.77
2023-04,STS-U1,33330693.9,34165585.16,0.9756,834891.26
2023-05,STS-U1,33796887.66,35516086.59,0.9516,1719198.92
2023-06,STS-U1,33585680.9,34381692.62,0.9768,796011.72
2023-07,STS-U1,26874486.28,27930031.69,0.9622,1055545.4
2023-08,STS-U1,26741769.51,28102107.58,0.9516,1360338.07
2023-09,STS-U1,20081311.03,27063418.58,0.742,6982107.55
2023-10,STS-U1,26249186.41,26668438.11,0.9843,419251.7
2023-11,STS-U1,25430979.98,25858216.76,0.9835,427236.78
2023-12,STS-U1,26183581.31,26617759.52,0.9837,434178.2
2024-01,STS-U1,26302698.32,26759642.42,0.9829,456944.1
2024-02,STS-U1,24407944.86,25005320.6,0.9761,597375.74
2024-03,STS-U1,25769496.44,26577673.61,0.9696,808177.17
