timestamp,unit_id,FurnaceDraftPressure_Pa,IDFanSpeed_pct,DamperPosition_pct,O2_pct,MillCurrent_A,TurbineVibration_mm_s,CondenserTemp_C,CondenserVacuum_kPa,AuxLoad_MW,NetGeneration_MW,draft_intensity_proxy
2023-01-05 18:00:00+00:00,STS-U1,-63.047,77.411,80.261,3.707,514.966,1.338,40.438,10.216,53.749,535.828,0.0
2023-01-08 12:50:00+00:00,STS-U1,-46.937,72.606,69.106,3.471,434.216,1.132,39.116,9.609,49.498,394.684,0.0
2023-04-03 17:20:00+00:00,STS-U1,-29.982,100.0,100.0,5.074,518.912,1.377,46.9,10.699,60.447,519.486,1.0
2023-04-16 08:00:00+00:00,STS-U1,-60.242,72.562,67.683,3.592,476.182,1.26,43.598,9.945,51.836,478.965,0.0
2023-04-20 07:15:00+00:00,STS-U1,-54.463,80.51,66.892,3.793,480.01,1.353,44.154,10.054,55.667,525.224,0.0
2023-07-11 09:30:00+00:00,STS-U1,-64.856,75.978,64.293,3.751,512.894,1.153,35.993,9.421,46.928,393.503,0.0
2023-12-11 21:35:00+00:00,STS-U1,-53.197,82.781,75.092,3.817,517.302,1.309,40.14,9.825,54.093,568.73,0.0
2024-03-06 00:50:00+00:00,STS-U1,-49.069,75.303,71.998,3.658,490.489,1.284,40.655,9.793,51.441,483.729,0.0
2024-03-15 10:45:00+00:00,STS-U1,-56.757,72.615,63.652,3.434,444.478,1.218,37.564,9.445,46.29,393.293,0.0
2024-03-31 21:55:00+00:00,STS-U1,-51.103,76.873,77.264,3.735,511.533,1.396,39.37,9.444,49.782,536.428,0.0
2024-05-29 12:10:00+00:00,STS-U1,-60.071,78.211,69.244,3.573,480.171,1.349,44.705,10.343,52.996,480.906,0.0
2024-06-02 03:25:00+00:00,STS-U1,-65.031,79.112,71.112,3.837,475.435,1.395,47.449,10.778,64.241,513.468,0.0
2024-06-06 06:35:00+00:00,STS-U1,-51.95,80.189,75.014,3.832,483.517,1.377,46.999,10.766,60.994,529.037,0.0
2024-07-15 15:10:00+00:00,STS-U1,-54.793,76.253,70.272,3.464,483.395,1.147,39.98,9.823,56.942,411.914,0.0
2024-09-03 16:10:00+00:00,STS-U1,-62.224,77.347,64.134,3.818,534.407,1.221,39.709,9.687,58.149,495.933,0.0
