file,n_columns,columns
alarms.csv,7,"alarm_id, timestamp, tag_id, severity, message..."
asset_hierarchy.csv,7,"asset_id, parent_asset_id, level, system, canonical_name..."
capacity_revenue_daily.csv,6,"date, unit_id, availability_factor, capacity_payment_actual, capacity_payment_potential..."
daily_revenue_reconciliation.csv,12,"date, unit_id, actual_revenue_usd, max_potential_revenue_usd, revenue_loss_usd..."
dispatch_timeseries_5min.csv.gz,10,"timestamp, unit_id, available_mw, dispatch_target_mw, net_generation_mw..."
emails.csv,8,"email_id, timestamp, from_role, to_role, subject..."
energy_settlement_5min.csv.gz,6,"timestamp, unit_id, price_usd_mwh, energy_revenue_actual, energy_revenue_potential..."
events_outages_derates.csv,9,"event_id, unit_id, start_time, end_time, type..."
fuel_cost_daily.csv,5,"date, unit_id, coal_cost_actual, coal_cost_reference, fuel_overburn_cost"
heat_rate_hourly.csv,10,"timestamp, unit_id, net_station_heat_rate, ppa_reference_heat_rate, aux_load_mw..."
lost_revenue_attribution_daily.csv,8,"date, unit_id, loss_category, system, subsystem..."
media_metadata.csv,7,"media_id, timestamp, media_type, caption, linked_event_id..."
ontology_edges.csv,4,"src_node_id, edge_type, dst_node_id, evidence_ref"
ontology_nodes.csv,4,"node_id, node_type, canonical_name, description"
penalties_daily.csv,4,"date, unit_id, miss_mwh, dsm_penalties_usd"
revenue_summary_monthly.csv,6,"month, unit_id, actual_total_revenue, max_potential_revenue, revenue_capture_ratio..."
scada_unit1_5min.csv.gz,13,"timestamp, unit_id, FurnaceDraftPressure_Pa, IDFanSpeed_pct, DamperPosition_pct..."
sensor_registry.csv,7,"tag_id, asset_id, tag_name, units, sampling_frequency..."
shift_logs.csv,7,"log_id, shift_start, shift_end, operator_role, free_text..."
work_orders.csv,8,"wo_id, asset_description_raw, long_text, maintenance_type, cost_usd..."
